@RELATION evaluation_scores_per_repetition

@ATTRIBUTE train_size REAL
@ATTRIBUTE accuracy_mad REAL
@ATTRIBUTE f1_macro_mad REAL
@ATTRIBUTE precision_macro_mad REAL
@ATTRIBUTE recall_macro_mad REAL
@ATTRIBUTE dataset_name {d0_speeddating, d10_ringnorm, d11_credit-g, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}
@ATTRIBUTE repetition {r0, r1}

@DATA
0.6,0.0,0.0,0.0,0.0,d11_credit-g,e8_MLPClassifier,r0
0.6,0.0025000000000000022,0.008178268216287476,0.021733312614385825,0.004166666666666652,d11_credit-g,e8_MLPClassifier,r1
0.6,0.0,0.0,0.0,0.0,d11_credit-g,e9_Perceptron,r0
0.6,0.0,0.0,0.0,0.0,d11_credit-g,e9_Perceptron,r1
0.6,0.0015645954403218365,0.02000693052231528,0.029697585600813536,0.014880742826967108,d1_mammography,e0_ExtraTreesClassifier,r0
0.6,0.00201162270898525,0.02967837887982161,0.03689463476767407,0.02449612744235169,d1_mammography,e0_ExtraTreesClassifier,r1
0.6,0.0011175681716584784,0.020257625456280737,0.006513102000552662,0.024038461538461564,d1_mammography,e1_RandomForestClassifier,r0
0.6,0.001564595440321892,0.01838352416986011,0.04004551843779969,0.010187466995247307,d1_mammography,e1_RandomForestClassifier,r1
0.6,0.00201162270898525,0.030101333651134765,0.023080942317852737,0.03388267910579118,d1_mammography,e2_DecisionTreeClassifier,r0
0.6,0.0008940545373267716,0.011217165221271919,0.013047992347355375,0.009844217567329727,d1_mammography,e2_DecisionTreeClassifier,r1
0.6,0.00044702726866335807,0.001273381703371268,0.014854314128099955,0.009157718711494456,d1_mammography,e3_AdaBoostClassifier,r0
0.6,0.0004470272686634136,0.003655620816425509,0.020141794007468683,0.013850994543214257,d1_mammography,e3_AdaBoostClassifier,r1
0.6,0.002458649977648608,0.0015816359989110906,0.0031131477419999998,0.01282124625946135,d1_mammography,e4_GaussianNB,r0
0.6,0.007599463567277642,0.027955695878500997,0.024565335109222375,0.017969987678225663,d1_mammography,e4_GaussianNB,r1
0.6,0.0017881090746535433,0.029218931641675328,0.016522083895966932,0.03376826262981869,d1_mammography,e5_KNeighborsClassifier,r0
0.6,0.0015645954403218365,0.01501801052299978,0.04120878052075533,0.005494191163527562,d1_mammography,e5_KNeighborsClassifier,r1
0.6,0.0004470272686634136,0.008334184779777765,0.0031566349523081128,0.009615384615384637,d1_mammography,e6_SVC,r0
0.6,0.0029056772463120217,0.037303181669424035,0.06754655212381805,0.02495379334624187,d1_mammography,e6_SVC,r1
0.6,0.0008940545373267716,0.007464803804016318,0.021676780802346474,0.0004576659038901254,d1_mammography,e7_GaussianProcessClassifier,r0
0.6,0.002682163611980315,0.03193492653577096,0.059610843639553324,0.020146101038549524,d1_mammography,e7_GaussianProcessClassifier,r1
0.6,0.0002235136343317068,0.0052838278235341485,0.017236750333148143,0.013965411019186802,d1_mammography,e8_MLPClassifier,r0
0.6,0.002235136343316957,0.03768427191865864,0.03492374687430244,0.03399709558176378,d1_mammography,e8_MLPClassifier,r1
0.6,0.002235136343316957,0.0053833929028060945,0.012172099510660506,0.012935662735433895,d1_mammography,e9_Perceptron,r0
0.6,0.002458649977648608,0.03243691520601272,0.04707350191174947,0.024724960394296835,d1_mammography,e9_Perceptron,r1
0.6,0.04999999999999999,0.051150895140664954,0.03846153846153849,0.04999999999999999,d2_iris,e0_ExtraTreesClassifier,r0
0.6,0.04999999999999999,0.05012531328320802,0.04882154882154882,0.04999999999999999,d2_iris,e0_ExtraTreesClassifier,r1
0.6,0.016666666666666663,0.016961595908964344,0.012626262626262597,0.01666666666666672,d2_iris,e1_RandomForestClassifier,r0
0.6,0.016666666666666663,0.016961595908964344,0.012626262626262597,0.01666666666666672,d2_iris,e1_RandomForestClassifier,r1
0.6,0.04999999999999999,0.05012531328320802,0.04882154882154882,0.04999999999999999,d2_iris,e2_DecisionTreeClassifier,r0
0.6,0.04999999999999999,0.04995822890559726,0.051515151515151514,0.04999999999999999,d2_iris,e2_DecisionTreeClassifier,r1
0.6,0.033333333333333326,0.03341687552213868,0.03367003367003368,0.033333333333333326,d2_iris,e3_AdaBoostClassifier,r0
0.6,0.04999999999999999,0.05063162957899797,0.04734848484848486,0.050000000000000044,d2_iris,e3_AdaBoostClassifier,r1
0.6,0.033333333333333326,0.03367003367003368,0.027777777777777735,0.03333333333333338,d2_iris,e4_GaussianNB,r0
0.6,0.033333333333333326,0.03333333333333338,0.03333333333333338,0.03333333333333338,d2_iris,e4_GaussianNB,r1
0.6,0.016666666666666663,0.016961595908964344,0.012626262626262597,0.01666666666666672,d2_iris,e5_KNeighborsClassifier,r0
0.6,0.04999999999999999,0.05063162957899797,0.04734848484848486,0.050000000000000044,d2_iris,e5_KNeighborsClassifier,r1
0.6,0.033333333333333326,0.03367003367003368,0.027777777777777735,0.03333333333333338,d2_iris,e6_SVC,r0
0.6,0.016666666666666663,0.016961595908964344,0.012626262626262597,0.01666666666666672,d2_iris,e6_SVC,r1
0.6,0.033333333333333326,0.03367003367003368,0.027777777777777735,0.03333333333333338,d2_iris,e7_GaussianProcessClassifier,r0
0.6,0.0,0.0,0.0,0.0,d2_iris,e7_GaussianProcessClassifier,r1
0.6,0.033333333333333326,0.03367003367003368,0.027777777777777735,0.03333333333333338,d2_iris,e8_MLPClassifier,r0
0.6,0.016666666666666663,0.016961595908964344,0.012626262626262597,0.01666666666666672,d2_iris,e8_MLPClassifier,r1
0.6,0.0,0.0,0.0,0.0,d2_iris,e9_Perceptron,r0
0.6,0.016666666666666663,0.03243978243978245,0.1685823754789272,0.01666666666666669,d2_iris,e9_Perceptron,r1
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r0
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e0_ExtraTreesClassifier,r1
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r0
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e1_RandomForestClassifier,r1
0.6,0.004629629629629595,0.02354681119041252,0.02057504351318784,0.02777777777777779,d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r0
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e2_DecisionTreeClassifier,r1
0.6,0.013888888888888895,0.041305970149253746,0.05619227889175471,0.03282828282828282,d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r0
0.6,0.009259259259259245,0.05443181818181814,0.05226951266555224,0.055555555555555525,d3_climate-model-simulation-crashes,e3_AdaBoostClassifier,r1
0.6,0.0,0.038318692404927024,0.021068427370948384,0.05050505050505055,d3_climate-model-simulation-crashes,e4_GaussianNB,r0
0.6,0.02314814814814814,0.05255009350788137,0.07078702768236006,0.0378787878787879,d3_climate-model-simulation-crashes,e4_GaussianNB,r1
0.6,0.013888888888888895,0.003836317135549855,0.0005952380952380931,0.007575757575757569,d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r0
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e5_KNeighborsClassifier,r1
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e6_SVC,r0
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e6_SVC,r1
0.6,0.01851851851851849,0.02398217774669617,0.0324764150943396,0.015151515151515166,d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r0
0.6,0.01851851851851849,0.12235037837696161,0.13413461538461538,0.1111111111111111,d3_climate-model-simulation-crashes,e7_GaussianProcessClassifier,r1
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e8_MLPClassifier,r0
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e8_MLPClassifier,r1
0.6,0.0,0.0,0.0,0.0,d3_climate-model-simulation-crashes,e9_Perceptron,r0
