accuracy,f1_macro,precision_macro,recall_macro,dataset_name,estimator_name,repetition,split
d1_mammography,e4_GaussianNB,r0,test1,0.96,0.7039230199851962,0.6473684210526316,0.8571428571428572
d1_mammography,e4_GaussianNB,r1,train,0.9616666666666667,0.7453451680168294,0.6755871960091457,0.9427991088979164
d1_mammography,e4_GaussianNB,r1,test0,0.94,0.6509598603839442,0.6044546850998463,0.846938775510204
d1_mammography,e4_GaussianNB,r1,test1,0.955,0.6422182468694096,0.6058755090168703,0.7321428571428572
d1_mammography,e5_KNeighborsClassifier,r0,train,0.985,0.7314902292277858,0.9924496644295302,0.6538461538461539
d1_mammography,e5_KNeighborsClassifier,r0,test0,0.98,0.494949494949495,0.49,0.5
d1_mammography,e5_KNeighborsClassifier,r0,test1,0.985,0.6962025316455697,0.992462311557789,0.625
d1_mammography,e5_KNeighborsClassifier,r1,train,0.9916666666666667,0.8788319399006422,0.995777027027027,0.8076923076923077
d1_mammography,e5_KNeighborsClassifier,r1,test0,0.98,0.7448979591836735,0.7448979591836735,0.7448979591836735
d1_mammography,e5_KNeighborsClassifier,r1,test1,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d1_mammography,e6_SVC,r0,train,0.9816666666666667,0.6286919831223629,0.9908026755852843,0.5769230769230769
d1_mammography,e6_SVC,r0,test0,0.98,0.494949494949495,0.49,0.5
d1_mammography,e6_SVC,r0,test1,0.98,0.494949494949495,0.49,0.5
d1_mammography,e6_SVC,r1,train,0.9916666666666667,0.8788319399006422,0.995777027027027,0.8076923076923077
d1_mammography,e6_SVC,r1,test0,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d1_mammography,e6_SVC,r1,test1,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d1_mammography,e7_GaussianProcessClassifier,r0,train,0.9866666666666667,0.7743936830231246,0.9932773109243698,0.6923076923076923
d1_mammography,e7_GaussianProcessClassifier,r0,test0,0.995,0.9272991639403854,0.9974619289340101,0.875
d1_mammography,e7_GaussianProcessClassifier,r0,test1,0.99,0.8307952622673435,0.994949494949495,0.75
d1_mammography,e7_GaussianProcessClassifier,r1,train,0.9916666666666667,0.8788319399006422,0.995777027027027,0.8076923076923077
d1_mammography,e7_GaussianProcessClassifier,r1,test0,0.975,0.7158283603296391,0.6948717948717948,0.7423469387755102
d1_mammography,e7_GaussianProcessClassifier,r1,test1,0.975,0.6364958197019266,0.6590524534686971,0.6198979591836735
d1_mammography,e8_MLPClassifier,r0,train,0.985,0.7314902292277858,0.9924496644295302,0.6538461538461539
d1_mammography,e8_MLPClassifier,r0,test0,0.985,0.781897491821156,0.8282571912013537,0.7474489795918368
d1_mammography,e8_MLPClassifier,r0,test1,0.995,0.9272991639403854,0.9974619289340101,0.875
d1_mammography,e8_MLPClassifier,r1,train,0.9933333333333333,0.9073931162216391,0.9966159052453469,0.8461538461538461
d1_mammography,e8_MLPClassifier,r1,test0,0.98,0.7448979591836735,0.7448979591836735,0.7448979591836735
d1_mammography,e8_MLPClassifier,r1,test1,0.985,0.781897491821156,0.8282571912013537,0.7474489795918368
d1_mammography,e9_Perceptron,r0,train,0.9716666666666667,0.6232130323962912,0.6415254237288136,0.6094220940898964
d1_mammography,e9_Perceptron,r0,test0,0.97,0.7422680412371134,0.6848958333333333,0.8622448979591837
d1_mammography,e9_Perceptron,r0,test1,0.985,0.8294970161977833,0.7974358974358975,0.8698979591836735
d1_mammography,e9_Perceptron,r1,train,0.9866666666666667,0.7743936830231246,0.9932773109243698,0.6923076923076923
d1_mammography,e9_Perceptron,r1,test0,0.965,0.6021597044614948,0.5923076923076923,0.6147959183673469
