fit_time,pred_time,dataset_name,estimator_name,repetition,split
d1_mammography,e7_GaussianProcessClassifier,r1,test1,0 days 00:00:00.190471000,0 days 00:00:00.006323000
d1_mammography,e8_MLPClassifier,r0,train,0 days 00:00:00.531137000,0 days 00:00:00.000764000
d1_mammography,e8_MLPClassifier,r0,test0,0 days 00:00:00.531137000,0 days 00:00:00.000404000
d1_mammography,e8_MLPClassifier,r0,test1,0 days 00:00:00.531137000,0 days 00:00:00.000469000
d1_mammography,e8_MLPClassifier,r1,train,0 days 00:00:00.532323000,0 days 00:00:00.000720000
d1_mammography,e8_MLPClassifier,r1,test0,0 days 00:00:00.532323000,0 days 00:00:00.000468000
d1_mammography,e8_MLPClassifier,r1,test1,0 days 00:00:00.532323000,0 days 00:00:00.000485000
d1_mammography,e9_Perceptron,r0,train,0 days 00:00:00.001024000,0 days 00:00:00.000150000
d1_mammography,e9_Perceptron,r0,test0,0 days 00:00:00.001024000,0 days 00:00:00.000155000
d1_mammography,e9_Perceptron,r0,test1,0 days 00:00:00.001024000,0 days 00:00:00.000135000
d1_mammography,e9_Perceptron,r1,train,0 days 00:00:00.000948000,0 days 00:00:00.000122000
d1_mammography,e9_Perceptron,r1,test0,0 days 00:00:00.000948000,0 days 00:00:00.000143000
d1_mammography,e9_Perceptron,r1,test1,0 days 00:00:00.000948000,0 days 00:00:00.000139000
d2_iris,e0_ExtraTreesClassifier,r0,train,0 days 00:00:00.428042000,0 days 00:00:00.030455000
d2_iris,e0_ExtraTreesClassifier,r0,test0,0 days 00:00:00.428042000,0 days 00:00:00.029562000
d2_iris,e0_ExtraTreesClassifier,r0,test1,0 days 00:00:00.428042000,0 days 00:00:00.028862000
d2_iris,e0_ExtraTreesClassifier,r1,train,0 days 00:00:00.426208000,0 days 00:00:00.030341000
d2_iris,e0_ExtraTreesClassifier,r1,test0,0 days 00:00:00.426208000,0 days 00:00:00.028640000
d2_iris,e0_ExtraTreesClassifier,r1,test1,0 days 00:00:00.426208000,0 days 00:00:00.030166000
d2_iris,e1_RandomForestClassifier,r0,train,0 days 00:00:00.464359000,0 days 00:00:00.029058000
d2_iris,e1_RandomForestClassifier,r0,test0,0 days 00:00:00.464359000,0 days 00:00:00.028049000
d2_iris,e1_RandomForestClassifier,r0,test1,0 days 00:00:00.464359000,0 days 00:00:00.029089000
d2_iris,e1_RandomForestClassifier,r1,train,0 days 00:00:00.480434000,0 days 00:00:00.029233000
d2_iris,e1_RandomForestClassifier,r1,test0,0 days 00:00:00.480434000,0 days 00:00:00.028205000
d2_iris,e1_RandomForestClassifier,r1,test1,0 days 00:00:00.480434000,0 days 00:00:00.029085000
d2_iris,e2_DecisionTreeClassifier,r0,train,0 days 00:00:00.000424000,0 days 00:00:00.000115000
d2_iris,e2_DecisionTreeClassifier,r0,test0,0 days 00:00:00.000424000,0 days 00:00:00.000165000
d2_iris,e2_DecisionTreeClassifier,r0,test1,0 days 00:00:00.000424000,0 days 00:00:00.000167000
d2_iris,e2_DecisionTreeClassifier,r1,train,0 days 00:00:00.000428000,0 days 00:00:00.000109000
d2_iris,e2_DecisionTreeClassifier,r1,test0,0 days 00:00:00.000428000,0 days 00:00:00.000141000
d2_iris,e2_DecisionTreeClassifier,r1,test1,0 days 00:00:00.000428000,0 days 00:00:00.000135000
d2_iris,e3_AdaBoostClassifier,r0,train,0 days 00:00:00.056586000,0 days 00:00:00.004588000
d2_iris,e3_AdaBoostClassifier,r0,test0,0 days 00:00:00.056586000,0 days 00:00:00.004027000
d2_iris,e3_AdaBoostClassifier,r0,test1,0 days 00:00:00.056586000,0 days 00:00:00.004055000
d2_iris,e3_AdaBoostClassifier,r1,train,0 days 00:00:00.055875000,0 days 00:00:00.004600000
d2_iris,e3_AdaBoostClassifier,r1,test0,0 days 00:00:00.055875000,0 days 00:00:00.004137000
