@RELATION evaluation_times

@ATTRIBUTE train_size REAL
@ATTRIBUTE fit_time INTEGER
@ATTRIBUTE score_time INTEGER
@ATTRIBUTE dataset_name {d0_speeddating, d1_mammography, d2_iris, d3_climate-model-simulation-crashes, d4_diabetes, d5_ilpd, d6_kc2, d7_steel-plates-fault, d8_segment, d9_hepatitis, d10_ringnorm, d11_credit-g}
@ATTRIBUTE estimator_name {e0_ExtraTreesClassifier, e1_RandomForestClassifier, e2_DecisionTreeClassifier, e3_AdaBoostClassifier, e4_GaussianNB, e5_KNeighborsClassifier, e6_SVC, e7_GaussianProcessClassifier, e8_MLPClassifier, e9_Perceptron}
@ATTRIBUTE repetition {r0, r1}
@ATTRIBUTE split {train, test0, test1}

@DATA
0.6,'0 days 00:00:00.009990','0 days 00:00:00.000446',d1_mammography,e4_GaussianNB,r0,test0
0.6,'0 days 00:00:00.009990','0 days 00:00:00.000478',d1_mammography,e4_GaussianNB,r0,test1
0.6,'0 days 00:00:00.009876','0 days 00:00:00.000817',d1_mammography,e4_GaussianNB,r1,train
0.6,'0 days 00:00:00.009876','0 days 00:00:00.000444',d1_mammography,e4_GaussianNB,r1,test0
0.6,'0 days 00:00:00.009876','0 days 00:00:00.000533',d1_mammography,e4_GaussianNB,r1,test1
0.6,'0 days 00:00:00.018829','0 days 00:00:00.140087',d1_mammography,e5_KNeighborsClassifier,r0,train
0.6,'0 days 00:00:00.018829','0 days 00:00:00.040326',d1_mammography,e5_KNeighborsClassifier,r0,test0
0.6,'0 days 00:00:00.018829','0 days 00:00:00.039682',d1_mammography,e5_KNeighborsClassifier,r0,test1
0.6,'0 days 00:00:00.018591','0 days 00:00:00.114918',d1_mammography,e5_KNeighborsClassifier,r1,train
0.6,'0 days 00:00:00.018591','0 days 00:00:00.038588',d1_mammography,e5_KNeighborsClassifier,r1,test0
0.6,'0 days 00:00:00.018591','0 days 00:00:00.037721',d1_mammography,e5_KNeighborsClassifier,r1,test1
0.6,'0 days 00:00:00.130406','0 days 00:00:00.065276',d1_mammography,e6_SVC,r0,train
0.6,'0 days 00:00:00.130406','0 days 00:00:00.023952',d1_mammography,e6_SVC,r0,test0
0.6,'0 days 00:00:00.130406','0 days 00:00:00.023321',d1_mammography,e6_SVC,r0,test1
0.6,'0 days 00:00:00.140049','0 days 00:00:00.067744',d1_mammography,e6_SVC,r1,train
0.6,'0 days 00:00:00.140049','0 days 00:00:00.022749',d1_mammography,e6_SVC,r1,test0
0.6,'0 days 00:00:00.140049','0 days 00:00:00.025733',d1_mammography,e6_SVC,r1,test1
0.6,'0 days 00:02:43.677953','0 days 00:00:01.696768',d1_mammography,e7_GaussianProcessClassifier,r0,train
0.6,'0 days 00:02:43.677953','0 days 00:00:00.569581',d1_mammography,e7_GaussianProcessClassifier,r0,test0
0.6,'0 days 00:02:43.677953','0 days 00:00:00.583076',d1_mammography,e7_GaussianProcessClassifier,r0,test1
0.6,'0 days 00:02:50.284844','0 days 00:00:02.944904',d1_mammography,e7_GaussianProcessClassifier,r1,train
0.6,'0 days 00:02:50.284844','0 days 00:00:00.902711',d1_mammography,e7_GaussianProcessClassifier,r1,test0
0.6,'0 days 00:02:50.284844','0 days 00:00:00.914116',d1_mammography,e7_GaussianProcessClassifier,r1,test1
0.6,'0 days 00:00:07.417100','0 days 00:00:00.029469',d1_mammography,e8_MLPClassifier,r0,train
0.6,'0 days 00:00:07.417100','0 days 00:00:00.003565',d1_mammography,e8_MLPClassifier,r0,test0
0.6,'0 days 00:00:07.417100','0 days 00:00:00.003798',d1_mammography,e8_MLPClassifier,r0,test1
0.6,'0 days 00:00:03.633786','0 days 00:00:00.007323',d1_mammography,e8_MLPClassifier,r1,train
0.6,'0 days 00:00:03.633786','0 days 00:00:00.001886',d1_mammography,e8_MLPClassifier,r1,test0
0.6,'0 days 00:00:03.633786','0 days 00:00:00.002063',d1_mammography,e8_MLPClassifier,r1,test1
0.6,'0 days 00:00:00.013717','0 days 00:00:00.000354',d1_mammography,e9_Perceptron,r0,train
0.6,'0 days 00:00:00.013717','0 days 00:00:00.000230',d1_mammography,e9_Perceptron,r0,test0
0.6,'0 days 00:00:00.013717','0 days 00:00:00.000232',d1_mammography,e9_Perceptron,r0,test1
0.6,'0 days 00:00:00.006275','0 days 00:00:00.000260',d1_mammography,e9_Perceptron,r1,train
0.6,'0 days 00:00:00.006275','0 days 00:00:00.000261',d1_mammography,e9_Perceptron,r1,test0
0.6,'0 days 00:00:00.006275','0 days 00:00:00.000228',d1_mammography,e9_Perceptron,r1,test1
0.6,'0 days 00:00:00.444631','0 days 00:00:00.030973',d2_iris,e0_ExtraTreesClassifier,r0,train
0.6,'0 days 00:00:00.444631','0 days 00:00:00.028386',d2_iris,e0_ExtraTreesClassifier,r0,test0
0.6,'0 days 00:00:00.444631','0 days 00:00:00.028463',d2_iris,e0_ExtraTreesClassifier,r0,test1
0.6,'0 days 00:00:00.726250','0 days 00:00:00.054607',d2_iris,e0_ExtraTreesClassifier,r1,train
0.6,'0 days 00:00:00.726250','0 days 00:00:00.048957',d2_iris,e0_ExtraTreesClassifier,r1,test0
0.6,'0 days 00:00:00.726250','0 days 00:00:00.058123',d2_iris,e0_ExtraTreesClassifier,r1,test1
0.6,'0 days 00:00:00.823655','0 days 00:00:00.050986',d2_iris,e1_RandomForestClassifier,r0,train
0.6,'0 days 00:00:00.823655','0 days 00:00:00.049134',d2_iris,e1_RandomForestClassifier,r0,test0
0.6,'0 days 00:00:00.823655','0 days 00:00:00.049688',d2_iris,e1_RandomForestClassifier,r0,test1
0.6,'0 days 00:00:00.838509','0 days 00:00:00.048787',d2_iris,e1_RandomForestClassifier,r1,train
0.6,'0 days 00:00:00.838509','0 days 00:00:00.052037',d2_iris,e1_RandomForestClassifier,r1,test0
0.6,'0 days 00:00:00.838509','0 days 00:00:00.046195',d2_iris,e1_RandomForestClassifier,r1,test1
0.6,'0 days 00:00:00.000599','0 days 00:00:00.000166',d2_iris,e2_DecisionTreeClassifier,r0,train
0.6,'0 days 00:00:00.000599','0 days 00:00:00.000288',d2_iris,e2_DecisionTreeClassifier,r0,test0
0.6,'0 days 00:00:00.000599','0 days 00:00:00.000231',d2_iris,e2_DecisionTreeClassifier,r0,test1
0.6,'0 days 00:00:00.000993','0 days 00:00:00.000352',d2_iris,e2_DecisionTreeClassifier,r1,train
