mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_learning_rate,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.12261896133422852,0.005485248565673828,0.746,0.7847500000000001,SAMME,0.75,50,12345,39,0.775,0.78375,0.75,0.765,0.765,0.7875,0.72,0.79625,0.72,0.79125,0.004821506461323894,0.0015231222598856965,0.02267156809750929,0.010706306552681927
0.07021727561950683,0.0031894683837890626,0.746,0.77825,SAMME,0.9,30,12345,39,0.775,0.76625,0.745,0.76375,0.77,0.79625,0.715,0.7925,0.725,0.7725,0.0028011671627371656,0.0008415950739716618,0.023748684174075857,0.013523128336298519
0.22559695243835448,0.01839609146118164,0.75,0.81275,SAMME.R,0.65,90,12345,27,0.77,0.8075,0.78,0.8075,0.745,0.81,0.72,0.825,0.735,0.81375,0.018569285102484383,0.00392984845167428,0.022135943621178676,0.00653834841531099
0.16682782173156738,0.008341741561889649,0.746,0.77875,SAMME,0.65,70,12345,39,0.76,0.77875,0.765,0.76625,0.765,0.77125,0.715,0.79375,0.725,0.78375,0.010999709499591918,0.0018423217672118724,0.021540659228538036,0.009617692030835658
0.11740694046020508,0.006453132629394532,0.733,0.77575,SAMME,0.5,50,12345,49,0.735,0.78125,0.755,0.76125,0.735,0.7725,0.71,0.77875,0.73,0.785,0.008303763650859408,0.0013853596462483804,0.014352700094407336,0.008314144574157965
0.09696726799011231,0.004809284210205078,0.755,0.783,SAMME,1,40,12345,10,0.775,0.77375,0.77,0.76375,0.765,0.79625,0.72,0.79125,0.745,0.79,0.014517229693169889,0.0013923439553456198,0.020248456731316603,0.012237238250520406
0.20801634788513185,0.010522747039794922,0.75,0.78725,SAMME,0.9,90,12345,27,0.77,0.78375,0.775,0.77375,0.75,0.78875,0.715,0.79375,0.74,0.79625,0.008981297956253501,0.001925964109815619,0.021679483388678818,0.007999999999999983
0.0772815227508545,0.00563206672668457,0.761,0.7929999999999999,SAMME.R,0.75,30,12345,2,0.77,0.7825,0.795,0.77875,0.775,0.7975,0.72,0.8025,0.745,0.80375,0.006475210384529156,0.0013717964321153236,0.025961509971494365,0.010386289038920474
0.21718220710754393,0.010196208953857422,0.754,0.788,SAMME,0.85,90,12345,15,0.77,0.78125,0.765,0.77625,0.755,0.79125,0.725,0.79,0.755,0.80125,0.014422784437345345,0.0026237921062643023,0.015620499351813323,0.008645808232895302
0.1775062084197998,0.014494371414184571,0.755,0.8130000000000001,SAMME.R,0.85,70,12345,10,0.775,0.79625,0.79,0.80625,0.755,0.81875,0.735,0.82375,0.72,0.82,0.013341395256458818,0.0027270105564226326,0.025495097567963948,0.01023474474522934
0.1881114959716797,0.012624263763427734,0.756,0.8105,SAMME.R,0.75,70,12345,7,0.79,0.8075,0.775,0.79625,0.75,0.80875,0.735,0.82,0.73,0.82,0.0059450838761399396,0.0033432041133754638,0.023108440016582705,0.008895223437328575
0.1268155574798584,0.008632230758666991,0.763,0.80625,SAMME.R,0.9,50,12345,1,0.755,0.785,0.79,0.79875,0.755,0.81375,0.75,0.82,0.765,0.81375,0.0063578411396224286,0.002588543834596543,0.014352700094407337,0.01272301064999945
0.16993951797485352,0.007513666152954101,0.756,0.791,SAMME,1,70,12345,7,0.785,0.7875,0.775,0.785,0.755,0.78875,0.715,0.795,0.75,0.79875,0.00992502628189512,0.0019980757724614457,0.024166091947189168,0.005086747487343945
0.07566356658935547,0.004232215881347656,0.731,0.7735,SAMME,0.65,30,12345,50,0.75,0.765,0.75,0.765,0.73,0.77125,0.725,0.78875,0.7,0.7775,0.008314621238625867,0.0007287421713095734,0.018547236990991426,0.008923284148787349
0.1632209300994873,0.007965850830078124,0.739,0.77925,SAMME,0.5,70,12345,44,0.735,0.78125,0.76,0.7625,0.765,0.775,0.705,0.79,0.73,0.7875,0.007577621683388544,0.0022027005146769128,0.02177154105707726,0.009861541461658027
0.07211117744445801,0.0028546333312988283,0.751,0.7799999999999999,SAMME,0.85,30,12345,19,0.76,0.785,0.775,0.76,0.76,0.7775,0.72,0.78875,0.74,0.78875,0.008732094771728245,0.0008537903392903333,0.01907878402833893,0.010810874155219813
0.0745938777923584,0.003750896453857422,0.734,0.7605000000000001,SAMME,0.5,30,12345,47,0.745,0.77875,0.76,0.75375,0.735,0.7525,0.7,0.76375,0.73,0.75375,0.0041607037619491,0.0009969293959833253,0.019849433241279225,0.009987492177719113
0.22089390754699706,0.007678461074829101,0.74,0.7777499999999999,SAMME,0.5,90,12345,42,0.74,0.7775,0.76,0.7625,0.755,0.7725,0.715,0.785,0.73,0.79125,0.01794832138282824,0.0023021092531337953,0.016431676725154998,0.009949874371066224
0.07716150283813476,0.004999780654907226,0.75,0.7975000000000001,SAMME.R,1,30,12345,27,0.765,0.7875,0.77,0.79625,0.755,0.80375,0.72,0.805,0.74,0.795,0.005733100098752796,0.001341683208644941,0.018165902124584965,0.006373774391990989
