mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_coef0,param_degree,param_gamma,param_max_iter,param_random_state,param_tol,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.016520881652832033,0.002244091033935547,0.7221269296740995,1.0,1000,0.73,6,0.05,-1,12345,1e-05,1,0.7203389830508474,1.0,0.7008547008547008,1.0,0.7155172413793104,1.0,0.7241379310344828,1.0,0.75,1.0,0.0004468014705620532,0.00011376335311198308,0.015985567997540737,0.0
0.01662869453430176,0.0022020339965820312,0.7221269296740995,1.0,10,0.73,3,0.05,500000,12345,1e-05,1,0.7203389830508474,1.0,0.7008547008547008,1.0,0.7155172413793104,1.0,0.7241379310344828,1.0,0.75,1.0,0.0008722185644584095,8.932281348384945e-05,0.015985567997540737,0.0
0.011641979217529297,0.0019156932830810547,0.7204116638078902,1.0,10,2.0,2,0.3,500000,12345,0.01,5,0.7203389830508474,1.0,0.717948717948718,1.0,0.7155172413793104,1.0,0.7155172413793104,1.0,0.7327586206896551,1.0,0.00031799493932640316,5.775972409625855e-05,0.006409669914762945,0.0
0.23200817108154298,0.0018947601318359375,0.7032590051457976,0.9961410072491287,2000,4.2,7,0.001,-1,12345,1e-05,26,0.6694915254237288,0.9956989247311828,0.7435897435897436,0.9978540772532188,0.6896551724137931,0.9957173447537473,0.6896551724137931,0.9957173447537473,0.7241379310344828,0.9957173447537473,0.05085039472549987,0.0004061911911674121,0.026788027717674894,0.0008565647111065421
0.0010180950164794921,0.0003276824951171875,0.2864493996569468,0.28644858703900405,1000,0.73,2,0.15,500000,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,5.297817481992683e-05,1.6899151941937782e-06,0.0025176599482512356,0.0006299329778338743
0.016321182250976562,0.0020761489868164062,0.7169811320754716,1.0,2000,2.0,7,auto,500000,12345,1e-05,18,0.7203389830508474,1.0,0.7094017094017094,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7241379310344828,1.0,0.0008597772507572623,4.197792258658173e-05,0.007377575695138117,0.0
0.019059419631958008,0.0013016223907470702,0.6878216123499142,0.9961410072491287,2000,0.5,6,0.001,-1,12345,1,27,0.652542372881356,0.9956989247311828,0.7264957264957265,0.9978540772532188,0.6810344827586207,0.9978586723768736,0.646551724137931,0.9957173447537473,0.7327586206896551,0.9935760171306209,0.0026725008090280325,6.808770455106109e-05,0.036082122802076344,0.001602440856986185
0.0009982585906982422,0.0003299236297607422,0.2864493996569468,0.28644858703900405,200,0.73,3,0.1,-1,12345,50,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,2.4724363013617344e-05,5.456400742480047e-06,0.0025176599482512356,0.0006299329778338743
0.007390069961547852,0.001580524444580078,0.7084048027444254,1.0,100,1.0,6,0.05,-1,12345,1,25,0.7033898305084746,1.0,0.7094017094017094,1.0,0.6724137931034483,1.0,0.7155172413793104,1.0,0.7413793103448276,1.0,0.0003669646387364941,0.0001177159616780656,0.022123226748312734,0.0
0.001092529296875,0.00036497116088867186,0.2864493996569468,0.28644858703900405,200,1.0,4,0.2,-1,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,8.405869579094051e-06,4.209691706532142e-06,0.0025176599482512356,0.0006299329778338743
0.001096343994140625,0.00036468505859375,0.2864493996569468,0.28644858703900405,200,0.0,7,0.001,-1,12345,10,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,4.142175460907745e-06,2.289811554630846e-06,0.0025176599482512356,0.0006299329778338743
0.0010491371154785155,0.0003487110137939453,0.2864493996569468,0.28644858703900405,200,2.0,9,0.2,-1,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,5.0982924108149954e-05,1.6859144009248115e-05,0.0025176599482512356,0.0006299329778338743
0.0010047435760498046,0.0003347873687744141,0.2864493996569468,0.28644858703900405,10,0.5,7,0.001,500000,12345,50,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,1.753334834383517e-05,9.328719126393648e-06,0.0025176599482512356,0.0006299329778338743
0.007488155364990234,0.0016004562377929688,0.7204116638078902,1.0,2000,4.2,8,auto,-1,12345,1,5,0.7203389830508474,1.0,0.7008547008547008,1.0,0.7068965517241379,1.0,0.7327586206896551,1.0,0.7413793103448276,1.0,0.00027708738522989814,5.257557291471382e-05,0.01519574507955382,0.0
0.0010066032409667969,0.0003393650054931641,0.2864493996569468,0.28644858703900405,10,0.0,3,auto,500000,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,1.9571827482869683e-05,1.4175463287304255e-05,0.0025176599482512356,0.0006299329778338743
0.014938259124755859,0.0019675254821777343,0.7204116638078902,1.0,1000,0.0,7,0.2,500000,12345,1e-05,5,0.7203389830508474,1.0,0.717948717948718,1.0,0.7155172413793104,1.0,0.7155172413793104,1.0,0.7327586206896551,1.0,0.0007562079986344831,4.825526074949974e-05,0.006409669914762945,0.0
0.015152788162231446,0.002087259292602539,0.7204116638078902,1.0,1000,1.0,9,0.15,-1,12345,1e-05,5,0.7288135593220338,1.0,0.7094017094017094,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7327586206896551,1.0,0.0007015866456191991,9.447798807869545e-05,0.010394894975073189,0.0
0.01214284896850586,0.001977968215942383,0.7204116638078902,1.0,1,0.73,3,0.2,500000,12345,1e-05,5,0.7203389830508474,1.0,0.717948717948718,1.0,0.7155172413793104,1.0,0.7155172413793104,1.0,0.7327586206896551,1.0,0.00040007567934805704,6.438633109958779e-05,0.006409669914762945,0.0
0.0010406494140625,0.00034837722778320314,0.2864493996569468,0.28644858703900405,100,0.5,3,0.05,500000,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,4.913306569404515e-05,2.768260452510462e-05,0.0025176599482512356,0.0006299329778338743
0.0011054515838623048,0.0003638267517089844,0.2864493996569468,0.28644858703900405,1000,4.2,3,0.001,-1,12345,10,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,8.189391876613044e-06,1.0115243642614567e-06,0.0025176599482512356,0.0006299329778338743
0.01663942337036133,0.0021792888641357423,0.7169811320754716,1.0,1000,1.0,7,auto,500000,12345,1e-05,18,0.7203389830508474,1.0,0.7094017094017094,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7241379310344828,1.0,0.0012755612647775921,9.507260048150218e-05,0.007377575695138117,0.0
0.006734466552734375,0.0014543533325195312,0.7152658662092625,1.0,1,4.2,9,auto,500000,12345,1,24,0.7203389830508474,1.0,0.7008547008547008,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7241379310344828,1.0,0.00013344504053212805,3.257289949821406e-05,0.009599392072435993,0.0
0.015724754333496092,0.0020719051361083986,0.7169811320754716,1.0,10,0.0,7,0.1,500000,12345,1e-05,18,0.7203389830508474,1.0,0.7094017094017094,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7241379310344828,1.0,0.0006820188655145691,3.784639432497709e-05,0.007377575695138117,0.0
0.0010113239288330079,0.00032744407653808596,0.2864493996569468,0.28644858703900405,1,2.0,3,0.001,-1,12345,50,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,3.020995785235495e-05,1.2305725002826635e-06,0.0025176599482512356,0.0006299329778338743
0.006714057922363281,0.0014792919158935548,0.7204116638078902,1.0,1,1.0,7,0.15,500000,12345,1,5,0.7203389830508474,1.0,0.717948717948718,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7327586206896551,1.0,0.00024493748661658007,5.851077560130816e-05,0.008405796680482977,0.0
0.000998210906982422,0.00032696723937988283,0.2864493996569468,0.28644858703900405,1,2.0,8,auto,500000,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,2.0934943380956337e-05,1.1543005406294064e-06,0.0025176599482512356,0.0006299329778338743
0.0009998798370361329,0.00032725334167480467,0.2864493996569468,0.28644858703900405,1000,1.0,4,0.001,500000,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,1.2861704546131084e-05,4.156969970265077e-07,0.0025176599482512356,0.0006299329778338743
0.000992155075073242,0.00032625198364257815,0.2864493996569468,0.28644858703900405,200,0.73,5,auto,500000,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,1.5113255751268593e-05,7.478898592642843e-07,0.0025176599482512356,0.0006299329778338743
0.0009986400604248048,0.0003380298614501953,0.2864493996569468,0.28644858703900405,100,0.0,7,0.001,500000,12345,10,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,1.4428244601780411e-05,2.0459259372481292e-05,0.0025176599482512356,0.0006299329778338743
0.0009920120239257813,0.0003338336944580078,0.2864493996569468,0.28644858703900405,10,4.2,4,0.1,500000,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,2.4233181518617262e-05,1.1726122824170833e-05,0.0025176599482512356,0.0006299329778338743
0.0010032176971435547,0.00032711029052734375,0.2864493996569468,0.28644858703900405,1000,2.0,2,0.05,-1,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,2.579614105828972e-05,1.6379894292180698e-06,0.0025176599482512356,0.0006299329778338743
0.007377767562866211,0.0016396999359130859,0.7169811320754716,1.0,2000,4.2,6,0.15,-1,12345,1,18,0.7203389830508474,1.0,0.7094017094017094,1.0,0.7068965517241379,1.0,0.7241379310344828,1.0,0.7241379310344828,1.0,0.00013366644581047288,5.00330576677094e-05,0.007377575695138117,0.0
0.012090396881103516,0.0019756317138671874,0.7204116638078902,1.0,1,4.2,6,0.2,500000,12345,1e-05,5,0.7203389830508474,1.0,0.717948717948718,1.0,0.7155172413793104,1.0,0.7155172413793104,1.0,0.7327586206896551,1.0,0.0003478007673270417,4.116035590404982e-05,0.006409669914762945,0.0
0.0011035919189453125,0.0003638744354248047,0.2864493996569468,0.28644858703900405,10,4.2,3,auto,-1,12345,100,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,2.0941458945698585e-05,1.5771708878079632e-06,0.0025176599482512356,0.0006299329778338743
0.0010900020599365235,0.00036787986755371094,0.2864493996569468,0.28644858703900405,200,0.0,6,0.3,500000,12345,50,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,7.390822132109666e-06,5.902003649431534e-06,0.0025176599482512356,0.0006299329778338743
0.0010927677154541015,0.0003621101379394531,0.2864493996569468,0.28644858703900405,10,0.0,4,0.05,-1,12345,50,28,0.288135593220339,0.2860215053763441,0.2905982905982906,0.2854077253218884,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,0.28448275862068967,0.28693790149892934,8.056431554480249e-06,6.641573084442195e-07,0.0025176599482512356,0.0006299329778338743
