mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.16018242835998536,0.008082914352416991,0.993,0.9952493687490136,entropy,10,0.25,5,1,0.01,100,12345,15,0.9850746268656716,0.9937421777221527,0.9950248756218906,0.9949937421777222,1.0,0.99625,0.9949748743718593,0.9975031210986267,0.9899497487437185,0.9937578027465668,0.00480180645476916,0.0008152043869553954,0.0050869314838906795,0.001458931213518489
0.3593278884887695,0.01314373016357422,1.0,1.0,entropy,40,,20,0.001,0.005,200,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.012111507379655446,0.0002853852027381442,0.0,0.0
0.11572952270507812,0.0078064918518066405,0.847,0.892242055065711,entropy,20,log2,30,0.001,3,100,12345,17,0.835820895522388,0.8836045056320401,0.835820895522388,0.8886107634543179,0.865,0.885,0.8492462311557789,0.8963795255930087,0.8492462311557789,0.9076154806491885,0.00035770019435685013,0.00033467577462725794,0.010818827393745341,0.008873576247442191
0.562984561920166,0.03618497848510742,0.839,0.8462501214845648,entropy,30,log2,20,0.005,3,500,12345,18,0.835820895522388,0.851063829787234,0.835820895522388,0.8435544430538173,0.84,0.8425,0.8442211055276382,0.8489388264669163,0.8391959798994975,0.8451935081148564,0.005448732293632505,0.0006933187093780819,0.0031137224317020593,0.0032510751227662143
0.029756546020507812,0.001962709426879883,1.0,1.0,gini,5,0.25,20,0.005,3,20,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.473812275634121e-05,1.9317143518566763e-05,0.0,0.0
0.05461974143981933,0.004098129272460937,0.838,0.8380004226569104,entropy,,log2,,0.05,0.05,50,12345,19,0.835820895522388,0.8385481852315394,0.835820895522388,0.8385481852315394,0.84,0.8375,0.8391959798994975,0.8377028714107366,0.8391959798994975,0.8377028714107366,0.001587722061394042,8.733977756151343e-05,0.001810575034222239,0.0004533396078166465
0.21807441711425782,0.014926528930664063,0.838,0.8415004273444178,gini,5,log2,50,3,0.05,200,12345,19,0.835820895522388,0.8448060075093867,0.835820895522388,0.8397997496871089,0.84,0.84,0.8391959798994975,0.8426966292134831,0.8391959798994975,0.8401997503121099,0.002849339222311265,0.0005763941730688776,0.001810575034222239,0.0019592399848365146
0.03664546012878418,0.0018839359283447266,1.0,1.0,entropy,17,,40,7,0.01,20,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00047671133765586876,3.035524525812163e-05,0.0,0.0
0.17745556831359863,0.006804418563842773,1.0,1.0,entropy,5,,10,1,0.005,100,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006161439231038765,2.0802017610872093e-05,0.0,0.0
0.07710433006286621,0.004245090484619141,1.0,1.0,gini,30,0.33,40,7,2,50,12345,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002794777527118659,0.00020653162132733415,0.0,0.0
